ClassName,LCOM
AbstractAnnotation: LCOM[0.55]
StandardChartTheme: LCOM[0.9151785714285714]
AbstractOverlay: LCOM[0.25]
ApplicationFrame: LCOM[0]
ChartFrame: LCOM[0.0]
ChartMouseEvent: LCOM[0.75]
ChartMouseListener: LCOM[0]
ChartPanel: LCOM[0.9728453364817001]
CrosshairOverlay: LCOM[0.6842105263157895]
DefaultSelectionZoomStrategy: LCOM[0.8529411764705882]
ChartEditor: LCOM[0]
ChartEditorFactory: LCOM[0]
ChartEditorManager: LCOM[0.33333333333333337]
DefaultAxisEditor: LCOM[0.9041666666666667]
DefaultChartEditor: LCOM[0.7714285714285715]
DefaultChartEditorFactory: LCOM[0]
DefaultLogAxisEditor: LCOM[0.33333333333333337]
DefaultNumberAxisEditor: LCOM[0.33333333333333337]
DefaultPlotEditor: LCOM[0.8529411764705882]
DefaultPolarPlotEditor: LCOM[0.5625]
DefaultTitleEditor: LCOM[0.8148148148148149]
DefaultValueAxisEditor: LCOM[0.8472222222222222]
FontChooserPanel: LCOM[0.7333333333333334]
FontDisplayField: LCOM[0.5]
LCBLayout: LCOM[0.6326530612244898]
PaintSample: LCOM[0.5]
StrokeChooserPanel: LCOM[0.0]
StrokeSample: LCOM[0.6]
MouseWheelHandler: LCOM[0.375]
NumberCellRenderer: LCOM[0]
Overlay: LCOM[0]
OverlayChangeEvent: LCOM[0]
OverlayChangeListener: LCOM[0]
PolarChartPanel: LCOM[0.6]
SelectionZoomStrategy: LCOM[0]
UIUtils: LCOM[0]
AttributedStringUtils: LCOM[0]
HexNumberFormat: LCOM[0.88]
HMSNumberFormat: LCOM[0.6666666666666667]
LogFormat: LCOM[0.5833333333333333]
RelativeDateFormat: LCOM[0.86]
G2TextMeasurer: LCOM[0.0]
TextBlock: LCOM[0.7435897435897436]
TextBox: LCOM[0.7474747474747474]
TextFragment: LCOM[0.7532467532467533]
TextLine: LCOM[0.5]
TextMeasurer: LCOM[0]
TextUtils: LCOM[0.9393939393939394]
CompositeTitle: LCOM[0.6666666666666667]
DateTitle: LCOM[1.0]
ImageTitle: LCOM[0.2222222222222222]
ShortTextTitle: LCOM[0]
TextTitle: LCOM[0.8509615384615384]
Title: LCOM[0.8909090909090909]
CategoryURLGenerator: LCOM[0]
CustomCategoryURLGenerator: LCOM[0.2857142857142857]
CustomPieURLGenerator: LCOM[0.5714285714285714]
CustomXYURLGenerator: LCOM[0.6428571428571428]
PieURLGenerator: LCOM[0]
StandardCategoryURLGenerator: LCOM[0.4375]
StandardPieURLGenerator: LCOM[0.25]
StandardXYURLGenerator: LCOM[0.5714285714285714]
StandardXYZURLGenerator: LCOM[0]
TimeSeriesURLGenerator: LCOM[0.6]
XYURLGenerator: LCOM[0]
XYZURLGenerator: LCOM[0]
AttrStringUtils: LCOM[0]
DefaultShadowGenerator: LCOM[0.6212121212121212]
DirectionalGradientPaintTransformer: LCOM[0]
ExportUtils: LCOM[0]
GradientPaintTransformer: LCOM[0]
PaintAlpha: LCOM[0.875]
ShadowGenerator: LCOM[0]
StandardGradientPaintTransformer: LCOM[0.6]
StringUtils: LCOM[0]
CategoryDataset: LCOM[0]
CategoryRangeInfo: LCOM[0]
CategoryToPieDataset: LCOM[0.5909090909090908]
DefaultCategoryDataset: LCOM[0.5833333333333333]
DefaultIntervalCategoryDataset: LCOM[0.75]
IntervalCategoryDataset: LCOM[0]
SlidingCategoryDataset: LCOM[0.45614035087719296]
ComparableObjectItem: LCOM[0.6190476190476191]
ComparableObjectSeries: LCOM[0.6710526315789473]
DataUtils: LCOM[0]
DefaultKeyedValue: LCOM[0.5714285714285714]
DefaultKeyedValues: LCOM[0.7023809523809523]
DefaultKeyedValues2D: LCOM[0.6857142857142857]
DomainInfo: LCOM[0]
DefaultFlowDataset: LCOM[0.765625]
FlowDataset: LCOM[0]
FlowDatasetUtils: LCOM[0]
FlowKey: LCOM[0.6428571428571428]
NodeKey: LCOM[0.5555555555555556]
Function2D: LCOM[0]
LineFunction2D: LCOM[0.19999999999999996]
NormalDistributionFunction2D: LCOM[0.55]
PolynomialFunction2D: LCOM[0.0]
PowerFunction2D: LCOM[0.19999999999999996]
GanttCategoryDataset: LCOM[0]
SlidingGanttCategoryDataset: LCOM[0.41666666666666663]
Task: LCOM[0.7428571428571429]
TaskSeries: LCOM[0.0]
TaskSeriesCollection: LCOM[0.7477477477477478]
XYTaskDataset: LCOM[0.7111111111111111]
AbstractDataset: LCOM[0.7272727272727273]
AbstractSeriesDataset: LCOM[1.0]
Dataset: LCOM[0]
DatasetChangeEvent: LCOM[0.0]
DatasetChangeListener: LCOM[0]
DatasetUtils: LCOM[0]
DefaultHeatMapDataset: LCOM[0.7755102040816326]
DefaultKeyedValueDataset: LCOM[0.5714285714285714]
DefaultKeyedValues2DDataset: LCOM[0]
DefaultKeyedValuesDataset: LCOM[0]
DefaultPieDataset: LCOM[0.5882352941176471]
DefaultValueDataset: LCOM[0.5]
HeatMapDataset: LCOM[0]
HeatMapUtils: LCOM[0]
KeyedValueDataset: LCOM[0]
KeyedValues2DDataset: LCOM[0]
KeyedValuesDataset: LCOM[0]
PieDataset: LCOM[0]
Series: LCOM[0.8125]
SeriesChangeEvent: LCOM[0]
SeriesChangeListener: LCOM[0]
SeriesDataset: LCOM[0]
SeriesException: LCOM[0]
ValueDataset: LCOM[0]
WaferMapDataset: LCOM[0.8739495798319328]
CSV: LCOM[0.625]
ItemKey: LCOM[0]
JSONArray: LCOM[1.0]
JSONAware: LCOM[0]
JSONObject: LCOM[1.0]
