File Name, Density of Comments
CrosshairState.java, 0.6284916201117319
DatasetRenderingOrder.java, 0.8461538461538461
DefaultDrawingSupplier.java, 0.4371482176360225
DialShape.java, 0.9074074074074074
DrawingSupplier.java, 0.7755102040816326
FastScatterPlot.java, 0.46309963099630996
IntervalMarker.java, 0.5642201834862385
Marker.java, 0.5464071856287425
MeterInterval.java, 0.55
MeterPlot.java, 0.44393241167434716
package-info.java, 0.75
Pannable.java, 0.7752808988764045
Plot.java, 0.49896193771626296
PlotOrientation.java, 0.8055555555555556
PlotRenderingInfo.java, 0.5363321799307958
PlotState.java, 0.7205882352941176
PolarAxisLocation.java, 0.9315068493150684
PolarPlot.java, 0.44786494538232374
RingPlot.java, 0.454014598540146
SeriesRenderingOrder.java, 0.8412698412698413
SpiderWebPlot.java, 0.4642365887207703
ThermometerPlot.java, 0.48825710754017304
ValueAxisPlot.java, 0.8103448275862069
ValueMarker.java, 0.6438356164383562
WaferMapPlot.java, 0.40415704387990764
XYCrosshairState.java, 0.7931034482758621
XYPlot.java, 0.4331540886334137
Zoomable.java, 0.8109756097560976
ArrowNeedle.java, 0.45977011494252873
CompassPlot.java, 0.43648960739030024
LineNeedle.java, 0.568
LongNeedle.java, 0.4222222222222222
MeterNeedle.java, 0.5142857142857142
MiddlePinNeedle.java, 0.4899328859060403
package-info.java, 0.75
PinNeedle.java, 0.5
PlumNeedle.java, 0.5298507462686567
PointerNeedle.java, 0.46153846153846156
ShipNeedle.java, 0.5454545454545454
WindNeedle.java, 0.532258064516129
AbstractDialLayer.java, 0.5801886792452831
ArcDialFrame.java, 0.4794520547945205
DialBackground.java, 0.5454545454545454
DialCap.java, 0.5253731343283582
DialFrame.java, 0.8125
DialLayer.java, 0.7857142857142857
DialLayerChangeEvent.java, 0.7536231884057971
DialLayerChangeListener.java, 0.8214285714285714
DialPlot.java, 0.4635036496350365
DialPointer.java, 0.47368421052631576
DialScale.java, 0.8529411764705882
DialTextAnnotation.java, 0.5417721518987342
DialValueIndicator.java, 0.515748031496063
package-info.java, 0.75
StandardDialFrame.java, 0.5014164305949008
StandardDialRange.java, 0.5081585081585082
StandardDialScale.java, 0.5100200400801603
FlowPlot.java, 0.3864734299516908
package-info.java, 0.75
AbstractPieLabelDistributor.java, 0.6915887850467289
MultiplePiePlot.java, 0.3732283464566929
package-info.java, 0.75
PieLabelDistributor.java, 0.4372093023255814
PieLabelLinkStyle.java, 0.9074074074074074
PieLabelRecord.java, 0.5535714285714286
PiePlot.java, 0.4533871970167806
PiePlotState.java, 0.6472727272727272
AbstractRenderer.java, 0.531873161163779
AreaRendererEndType.java, 0.8253968253968254
DefaultPolarItemRenderer.java, 0.4054945054945055
GrayPaintScale.java, 0.5630630630630631
LookupPaintScale.java, 0.47757255936675463
NotOutlierException.java, 0.8360655737704918
Outlier.java, 0.6009389671361502
OutlierList.java, 0.6416184971098265
OutlierListCollection.java, 0.6395348837209303
package-info.java, 0.75
PaintScale.java, 0.8024691358024691
PolarItemRenderer.java, 0.7135922330097088
RendererState.java, 0.6491228070175439
RendererUtils.java, 0.3700787401574803
WaferMapRenderer.java, 0.4074074074074074
AbstractCategoryItemRenderer.java, 0.3857228554289142
AreaRenderer.java, 0.33433734939759036
BarPainter.java, 0.8111111111111111
BarRenderer.java, 0.4093343534812548
BoxAndWhiskerRenderer.java, 0.37924865831842575
CategoryItemRenderer.java, 0.7941176470588235
CategoryItemRendererState.java, 0.624390243902439
CategoryStepRenderer.java, 0.42896935933147634
DefaultCategoryItemRenderer.java, 0.8305084745762712
GanttRenderer.java, 0.3436988543371522
GradientBarPainter.java, 0.38337801608579086
GroupedStackedBarRenderer.java, 0.329608938547486
IntervalBarRenderer.java, 0.42857142857142855
LayeredBarRenderer.java, 0.2974683544303797
LevelRenderer.java, 0.43249427917620137
LineAndShapeRenderer.java, 0.47523584905660377
MinMaxCategoryRenderer.java, 0.45018450184501846
package-info.java, 0.75
ScatterRenderer.java, 0.45532646048109965
StackedAreaRenderer.java, 0.3305439330543933
StackedBarRenderer.java, 0.35638297872340424
StandardBarPainter.java, 0.44036697247706424
StatisticalBarRenderer.java, 0.3191489361702128
StatisticalLineAndShapeRenderer.java, 0.34773218142548595
WaterfallBarRenderer.java, 0.3755274261603376
AbstractXYItemRenderer.java, 0.3465045592705167
CandlestickRenderer.java, 0.457174638487208
ClusteredXYBarRenderer.java, 0.36768802228412256
CyclicXYItemRenderer.java, 0.40501043841336115
DefaultXYItemRenderer.java, 0.8620689655172413
DeviationRenderer.java, 0.4656084656084656
DeviationStepRenderer.java, 0.34935897435897434
GradientXYBarPainter.java, 0.3521505376344086
HighLowRenderer.java, 0.433264887063655
package-info.java, 0.75
SamplingXYLineRenderer.java, 0.4849315068493151
StackedXYAreaRenderer.java, 0.42388059701492536
StackedXYAreaRenderer2.java, 0.32075471698113206
StackedXYBarRenderer.java, 0.3783783783783784
StandardXYBarPainter.java, 0.44036697247706424
StandardXYItemRenderer.java, 0.468
VectorRenderer.java, 0.33134328358208953
WindItemRenderer.java, 0.40106951871657753
XYAreaRenderer.java, 0.39330543933054396
XYAreaRenderer2.java, 0.3829787234042553
XYBarPainter.java, 0.8023255813953488
XYBarRenderer.java, 0.39780405405405406
XYBlockRenderer.java, 0.4482758620689655
XYBoxAndWhiskerRenderer.java, 0.3785450061652281
XYBubbleRenderer.java, 0.363905325443787
XYDifferenceRenderer.java, 0.30142737195633923
XYDotRenderer.java, 0.4701086956521739
XYErrorRenderer.java, 0.47297297297297297
XYItemRenderer.java, 0.7761394101876675
XYItemRendererState.java, 0.7323232323232324
XYLineAndShapeRenderer.java, 0.4826711749788673
XYShapeRenderer.java, 0.4975288303130148
XYSplineRenderer.java, 0.4514851485148515
XYStepAreaRenderer.java, 0.45714285714285713
XYStepRenderer.java, 0.438953488372093
YIntervalRenderer.java, 0.44625407166123776
AbstractOverlay.java, 0.6339285714285714
ApplicationFrame.java, 0.626984126984127
ChartFrame.java, 0.6593406593406593
ChartMouseEvent.java, 0.6972477064220184
ChartMouseListener.java, 0.8
ChartPanel.java, 0.42657569850552307
CrosshairOverlay.java, 0.2897822445561139
DefaultSelectionZoomStrategy.java, 0.31716417910447764
MouseWheelHandler.java, 0.5131578947368421
NumberCellRenderer.java, 0.5581395348837209
Overlay.java, 0.8352941176470589
OverlayChangeEvent.java, 0.7818181818181819
OverlayChangeListener.java, 0.8113207547169812
package-info.java, 0.75
PolarChartPanel.java, 0.4533898305084746
SelectionZoomStrategy.java, 0.7611111111111111
UIUtils.java, 0.46601941747572817
ChartEditor.java, 0.7931034482758621
ChartEditorFactory.java, 0.8181818181818182
ChartEditorManager.java, 0.7303370786516854
DefaultAxisEditor.java, 0.4834307992202729
DefaultChartEditor.java, 0.3707865168539326
DefaultChartEditorFactory.java, 0.75
DefaultLogAxisEditor.java, 0.4
DefaultNumberAxisEditor.java, 0.313953488372093
DefaultPlotEditor.java, 0.3386327503974563
DefaultPolarPlotEditor.java, 0.4075829383886256
DefaultTitleEditor.java, 0.4006849315068493
DefaultValueAxisEditor.java, 0.3818615751789976
FontChooserPanel.java, 0.39903846153846156
FontDisplayField.java, 0.6391752577319587
LCBLayout.java, 0.39015151515151514
package-info.java, 0.75
PaintSample.java, 0.5350877192982456
StrokeChooserPanel.java, 0.5913978494623656
StrokeSample.java, 0.4785276073619632
AttributedStringUtils.java, 0.4787234042553192
G2TextMeasurer.java, 0.6619718309859155
package-info.java, 0.75
TextAnchor.java, 0.7251461988304093
TextBlock.java, 0.4592833876221498
TextBlockAnchor.java, 0.9253731343283582
TextBox.java, 0.45390070921985815
TextFragment.java, 0.5220338983050847
TextLine.java, 0.48559670781893005
TextMeasurer.java, 0.8163265306122449
TextUtils.java, 0.4031620553359684
HexNumberFormat.java, 0.6474358974358975
HMSNumberFormat.java, 0.6403508771929824
LogFormat.java, 0.551440329218107
package-info.java, 0.75
RelativeDateFormat.java, 0.49818181818181817
CompositeTitle.java, 0.5327868852459017
DateTitle.java, 0.7212121212121212
ImageTitle.java, 0.42857142857142855
package-info.java, 0.75
ShortTextTitle.java, 0.4406779661016949
TextTitle.java, 0.4130688448074679
Title.java, 0.545662100456621
CategoryURLGenerator.java, 0.8589743589743589
CustomCategoryURLGenerator.java, 0.4793814432989691
CustomPieURLGenerator.java, 0.5022222222222222
CustomXYURLGenerator.java, 0.5118483412322274
package-info.java, 0.75
PieURLGenerator.java, 0.855072463768116
StandardCategoryURLGenerator.java, 0.507537688442211
StandardPieURLGenerator.java, 0.5393939393939394
StandardXYURLGenerator.java, 0.6075949367088608
StandardXYZURLGenerator.java, 0.7846153846153846
TimeSeriesURLGenerator.java, 0.5049019607843137
XYURLGenerator.java, 0.8591549295774648
XYZURLGenerator.java, 0.8484848484848485
AttrStringUtils.java, 0.3556231003039514
DefaultShadowGenerator.java, 0.4171779141104294
DirectionalGradientPaintTransformer.java, 0.5923076923076923
ExportUtils.java, 0.4479638009049774
GradientPaintTransformer.java, 0.7735849056603774
GradientPaintTransformType.java, 0.8936170212765957
package-info.java, 0.75
PaintAlpha.java, 0.6511627906976745
ShadowGenerator.java, 0.8133333333333334
StandardGradientPaintTransformer.java, 0.47093023255813954
StringUtils.java, 0.6526315789473685
ComparableObjectItem.java, 0.6094674556213018
ComparableObjectSeries.java, 0.49344978165938863
DataUtils.java, 0.4653846153846154
DefaultKeyedValue.java, 0.6036585365853658
DefaultKeyedValues.java, 0.4778761061946903
DefaultKeyedValues2D.java, 0.4712230215827338
DomainInfo.java, 0.85
DomainOrder.java, 0.9056603773584906
ItemKey.java, 0.8431372549019608
KeyedObject.java, 0.551948051948052
KeyedObjects.java, 0.5
KeyedObjects2D.java, 0.4529058116232465
